GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
discgolf-api,com.discgolf.api.discgolfapi.model,Cart,18,205,4,20,1,44,4,20,0,12
discgolf-api,com.discgolf.api.discgolfapi.model,Lesson,0,202,7,11,0,52,7,21,0,19
discgolf-api,com.discgolf.api.discgolfapi.model,User,10,84,3,7,4,24,3,15,1,12
discgolf-api,com.discgolf.api.discgolfapi.model,Disc,0,103,0,0,0,23,0,14,0,14
discgolf-api,com.discgolf.api.discgolfapi.persistence,CartFileDAO,19,285,2,18,4,56,3,21,1,13
discgolf-api,com.discgolf.api.discgolfapi.persistence,LessonFileDAO,36,449,10,28,3,91,11,26,3,15
discgolf-api,com.discgolf.api.discgolfapi.persistence,UserFileDAO,9,335,5,23,1,67,4,23,0,13
discgolf-api,com.discgolf.api.discgolfapi.persistence,DiscFileDAO,16,290,7,17,0,59,5,20,0,13
discgolf-api,com.discgolf.api.discgolfapi,WebConfig,0,35,0,0,0,4,0,2,0,2
discgolf-api,com.discgolf.api.discgolfapi,DiscsApiApplication,5,3,0,0,2,1,1,1,1,1
discgolf-api,com.discgolf.api.discgolfapi.controller,DiscController,0,242,0,14,0,60,0,16,0,9
discgolf-api,com.discgolf.api.discgolfapi.controller,CartController,0,1019,17,75,0,219,17,47,0,18
discgolf-api,com.discgolf.api.discgolfapi.controller,LessonController,0,265,0,14,0,66,0,17,0,10
discgolf-api,com.discgolf.api.discgolfapi.controller,UserController,27,298,1,21,7,75,1,21,0,11
